datasetId,baseSf,baseAdduct,otherSf,otherAdduct,rank
2016-09-21_16h07m14s,C3H10NO4P,+H,C10H15N3,+H,8.666666666666666
2016-09-21_16h07m14s,C3H10NO4P,+H,C10H9NO4,+H,9.0
2016-09-21_16h07m14s,C3H10NO4P,+H,C11H10O4,+H,9.666666666666666
2016-09-21_16h07m14s,C3H10NO4P,+H,C14H18N2O,+H,5.0
2016-09-21_16h07m14s,C3H10NO4P,+H,C26H38O7,+H,5.333333333333333
2016-09-21_16h07m14s,C3H10NO4P,+H,C27H38O8,+H,5.666666666666667
2016-09-21_16h07m14s,C3H10NO4P,+H,C30H22O12S,+H,9.333333333333334
2016-09-21_16h07m14s,C3H10NO4P,+H,C8H20NO6P,+H,4.0
2016-09-21_16h07m14s,C3H10NO4P,+H,C9H18N2O3,+H,0.0
2016-09-21_16h07m14s,C3H10NO4P,+H,C9H7NO,+H,7.333333333333333
2016-09-21_16h07m23s,C43H73O8P,-H,C21H26O3,-H,10.0
2016-09-21_16h07m23s,C43H73O8P,-H,C35H52O14,-H,10.0
2016-09-21_16h07m23s,C43H73O8P,-H,C39H75O8P,-H,10.0
2016-09-21_16h07m23s,C43H73O8P,-H,C41H78NO7P,-H,10.0
2016-09-21_16h07m23s,C43H73O8P,-H,C43H78N6O13,-H,10.0
2016-09-21_16h07m23s,C43H73O8P,-H,C43H82NO7P,-H,10.0
2016-09-21_16h07m23s,C43H73O8P,-H,C45H78NO8P,-H,0.3333333333333333
2016-09-21_16h07m23s,C43H73O8P,-H,C45H82NO7P,-H,0.6666666666666666
2016-09-21_16h07m23s,C43H73O8P,-H,C50H95NO11S,-H,10.0
2016-09-21_16h07m37s,C16H18O9S,+Na,C21H14O10,+Na,0.0
2016-09-21_16h07m37s,C16H18O9S,+Na,C26H54NO7P,+Na,6.333333333333333
2016-09-21_16h07m37s,C16H18O9S,+Na,C37H68O4,+H,4.333333333333333
2016-09-21_16h07m37s,C16H18O9S,+Na,C39H79N2O6P,+H,0.6666666666666666
2016-09-21_16h07m37s,C16H18O9S,+Na,C39H79N2O6P,+K,4.0
2016-09-21_16h07m37s,C16H18O9S,+Na,C40H80NO8P,+H,7.0
2016-09-21_16h07m37s,C16H18O9S,+Na,C42H80NO8P,+K,8.333333333333334
2016-09-21_16h07m37s,C16H18O9S,+Na,C42H82NO8P,+H,6.666666666666667
2016-09-21_16h07m37s,C16H18O9S,+Na,C44H82NO8P,+Na,9.0
2016-09-21_16h07m37s,C16H18O9S,+Na,C47H91N2O6P,+K,4.333333333333333
2016-09-21_16h07m37s,C39H79N2O6P,+H,C21H14O10,+Na,0.3333333333333333
2016-09-21_16h07m37s,C39H79N2O6P,+H,C24H50NO7P,+H,8.333333333333334
2016-09-21_16h07m37s,C39H79N2O6P,+H,C37H66O4,+H,4.666666666666667
2016-09-21_16h07m37s,C39H79N2O6P,+H,C39H79N2O6P,+Na,0.3333333333333333
2016-09-21_16h07m37s,C39H79N2O6P,+H,C39H81N2O6P,+Na,7.333333333333333
2016-09-21_16h07m37s,C39H79N2O6P,+H,C41H78NO10P,+Na,8.666666666666666
2016-09-21_16h07m37s,C39H79N2O6P,+H,C42H81NO12S,+H,7.0
2016-09-21_16h07m37s,C39H79N2O6P,+H,C44H82NO8P,+Na,7.333333333333333
2016-09-21_16h07m37s,C39H79N2O6P,+H,C45H76NO7P,+Na,8.333333333333334
2016-09-21_16h07m47s,C5H15As,+H,C10H12FN5O4,+Na,5.333333333333333
2016-09-21_16h07m47s,C5H15As,+H,C14H13NO7,+H,5.0
