,datasetId,user,baseSf,baseAdduct,otherSf,otherAdduct,rank
0,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C9H18N2O3,+H,0.0
1,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C8H20NO6P,+H,1.0
2,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C9H7NO,+H,2.0
3,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C14H18N2O,+H,3.0
4,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C26H38O7,+H,4.0
5,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C27H38O8,+H,5.0
6,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C10H15N3,+H,6.0
7,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C10H9NO4,+H,7.0
8,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C30H22O12S,+H,8.0
9,2016-09-21_16h07m14s,MPI_Bremen_tagger0,C3H10NO4P,+H,C11H10O4,+H,9.0
10,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C10H15N3,+H,
11,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C10H9NO4,+H,
12,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C11H10O4,+H,
13,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C9H7NO,+H,
14,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C30H22O12S,+H,
15,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C9H18N2O3,+H,0.0
16,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C8H20NO6P,+H,1.0
17,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C14H18N2O,+H,2.0
18,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C27H38O8,+H,2.0
19,2016-09-21_16h07m14s,MPI_Bremen_tagger1,C3H10NO4P,+H,C26H38O7,+H,2.0
20,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C10H15N3,+H,
21,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C10H9NO4,+H,
22,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C11H10O4,+H,
23,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C14H18N2O,+H,
24,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C27H38O8,+H,
25,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C8H20NO6P,+H,
26,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C9H7NO,+H,
27,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C26H38O7,+H,
28,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C30H22O12S,+H,
29,2016-09-21_16h07m14s,MPI_Bremen_tagger2,C3H10NO4P,+H,C9H18N2O3,+H,0.0
40,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C43H78N6O13,-H,
41,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C43H82NO7P,-H,
42,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C21H26O3,-H,
43,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C35H52O14,-H,
44,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C39H75O8P,-H,
45,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C41H78NO7P,-H,
46,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C43H82NO7P,-H,
47,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C50H95NO11S,-H,
48,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C45H78NO8P,-H,0.0
49,2016-09-21_16h07m23s,U_Melbourne_tagger0,C43H73O8P,-H,C45H82NO7P,-H,1.0
50,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C43H78N6O13,-H,
51,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C43H82NO7P,-H,
52,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C21H26O3,-H,
53,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C35H52O14,-H,
54,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C39H75O8P,-H,
55,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C41H78NO7P,-H,
56,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C43H82NO7P,-H,
57,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C50H95NO11S,-H,
58,2016-09-21_16h07m23s,U_Melbourne_tagger1,C43H73O8P,-H,C45H78NO8P,-H,0.0
